Jaunciema 5.šķērslīnija;2C
Jaunciema 5.šķērslīnija;2B
Jaunciema 5.šķērslīnija;2A
Jaunciema 5.līnija;4A
Jaunciema 4.līnija;22A
Jaunciema 4.līnija;10B
Jaunciema 3.šķērslīnija;6A
Jaunciema 3.šķērslīnija;8A
Jaunciema 3.šķērslīnija;17
Jaunciema 6.līnija;17
Jaunciema 4.līnija;12
Jaunciema 4.līnija;14
Jaunciema 4.līnija;16
Jaunciema 4.līnija;18
Jaunciema 4.līnija;20
Jaunciema 4.līnija;22
Jaunciema 4.līnija;24
Jaunciema 4.līnija;10
Jaunciema 4.līnija;02.apr
Jaunciema 4.līnija;13
Jaunciema 4.līnija;25
Jaunciema 3.līnija;24
Jaunciema 3.līnija;28
Jaunciema 3.līnija;30
Jaunciema 3.līnija;13
Jaunciema 3.līnija;15
Jaunciema 3.līnija;19
Jaunciema 3.līnija;21
Jaunciema 6.šķērslīnija;20
Jaunciema 6.šķērslīnija;11
Jaunciema 6.šķērslīnija;13
Jaunciema 5.šķērslīnija;06.aug
Jaunciema 5.šķērslīnija;17
Jaunciema 3.šķērslīnija;10
Jaunciema 3.šķērslīnija;12
Jaunciema 3.šķērslīnija;14
Jaunciema 3.šķērslīnija;16
Jaunciema 3.šķērslīnija;13
Jaunciema 3.šķērslīnija;15
Jaunciema 3.šķērslīnija;23
Jaunciema 3.šķērslīnija;25
Jaunciema 2.šķērslīnija;24
Jaunciema 2.šķērslīnija;23
Jaunciema 2.šķērslīnija;22
Jaunciema 2.šķērslīnija;20
Jaunciema 2.šķērslīnija;21
Jaunciema 2.šķērslīnija;17
Jaunciema 2.šķērslīnija;15
Jaunciema 2.šķērslīnija;13
Jaunciema 2.šķērslīnija;11
Jaunciema gatve;91B
Jaunciema 9.šķērslīnija;13
Jaunciema 5.līnija;48
Jaunciema 6.līnija;1B
Jaunciema gatve;132
Jaunciema gatve;134
Jaunciema 7.šķērslīnija;9G
Jaunciema 5.līnija;42
Jaunciema 9.šķērslīnija;35
Jaunciema 9.šķērslīnija;33
Jaunciema 7.šķērslīnija;12
Jaunciema 6.šķērslīnija;9
Jaunciema 5.līnija;45
Jaunciema 5.līnija;51
Jaunciema 7.šķērslīnija;11C
Jaunciema 7.šķērslīnija;9C
Jaunciema gatve;94E
Jaunciema gatve;94D
Jaunciema gatve;94C
Jaunciema gatve;89
Jaunciema 7.šķērslīnija;1C
Jaunciema 9.šķērslīnija;8
Jaunciema 6.šķērslīnija;7
Jaunciema gatve;90
Jaunciema 6.šķērslīnija;1A
Jaunciema 9.šķērslīnija;11
Jaunciema 5.līnija;39A
Jaunciema 5.līnija;39
Jaunciema 9.šķērslīnija;27
Jaunciema 7.šķērslīnija;9F
Jaunciema 6.šķērslīnija;6A
Jaunciema gatve;116A
Jaunciema gatve;116C
Jaunciema 10.šķērslīnija;18
